term_clean,description
임의해지,"계약당사자가 임의로 계약을 해지하는 경우로서, 미경과기간에 대한 보험료는 보험계약자에 의한 임의해지시는 월할계산, 보험자에 의한 임의해지시는 일할계산에 따라 환급한다."
입원 급부금,"크게 재해입원 급부금과 질병입원 급부금으로 나눌 수 있으며, 재해입원 급부금은 불의의 사고를 직접적인 원인으로 해서 사고가 발생한 날로부터 몇일이내에 기준일이상 입원하였을 때 그리고 질병입원 급부금은 질병에 의해서 기준일이상 입원하였을 때 대상이 된다.
재해입원 급부금과 질병입원 급부금이 있다. 재해입원 급부금은 불의의 사고를 직접적인 원인으로 해서 사고의 날로부터 예를 들어 180일 이내에 5일 이상 입원하였을 때 그리고 질병입원 급부금은 질병에 의해서 20일 이상 입원하였을 때 대상이 된다. 어느 경우나 국내의 병원 또는 의원의 입원이여야 하며, 지급되는 금액은 <입원 급부금일액×입원일수>이다."
입원실료,"입원치료 중 발생한 기본병실 사용료, 환자관리료, 식대 등을 말함"
자가보험,자가보험은 위험을 단순히 자체 내에서 인수하는 것이 아니라 보험이란 방법으로 자기인수하는 것이다.
자계약,원계약에서 분리되어져 나가는 피보험자에게 새롭게 형성되는 계약을 말합니다.
자기를 위해서 하는 보험,"보험계약자 자신을 보험수익자로 하는 보험계약을 말한다. 보험수익자의 지정이 없는 계약도 <자기를 위해서 하는 보험〉이 된다고 해석되고 있다. 보험수익자인 보험계약자가 사망하였을 경우에는, 그의 상속인이 보험계약자로서의 지위와 아울러 보험수익자의 지위를 상속하게 된다."
자기부담금,"보험사고로 인하여 발생한 손해에 대하여 계약자 또는 피보험자가 부담하는 일정 금액을 말합니다.
자기차량손해 사고 발생 시 본인이 부담해야할 금액으로 보험증권에 기재된 금액"
자동변속기,자동차의 주행속도와 부하(負荷)에 맞추어 자동적으로 최적의 토크 변환을 얻을 수 있도록 클러치를 없애 클러치와 기어 변속의 조작을 운전자 대신 기계가 운전 상황에 따라 자동적으로 함
자동종료해지,약관규정에 의한 자동종료 (탈급. 관리자 변경 등).
자동차 대물배상 보험,"피보험자동차의 사고로 남의 재물을 멸실, 파손 또는 오손하게 되어 피보험자가 법률상의 손해배상책임을 부담함으로써 입는 손해에 대하여 보험금을 지급하는 보험. 보험금액은 한사고마다의 최고 지급한도액으로 정하며, 자동차 복원방식이 도입되어 있다."
자동차 취급업자,"자동차정비업, 주차장업, 급유업, 세차업, 자동차판매업, 자동차탁송업 등 자동차를 취급하는 일에 종사하는 자(이들의 피용자 및 이들이 법인인 경우에는 그 이사와 감사를 포함)"
자동차기계장치,"방송기계류, 녹음기계류, 렌트겐종류, 토오키종류 등의 특수한 기계장치"
자동차보유자,자동차의 소유자나 자동차를 사용할 권리가 있는 자로서 자기를 위하여 자동차를 운행하는 자(『자동차손해배상보장법』 제2조 제3호)
자동차보험 대물배상,"이 보험은 피보험자동차를 소유, 사용, 관리하는 동안에 생긴 피보험자동차의 사고로 남의 재물을 멸실, 파손 또는 오손하여 법률상 손해배상책임을 짐으로써 입은 손해를 약관에 정한 바에 따라 보상하는 책임을 진다."
자동차보험 무보험자동차에 의한 상해,"『무보험자동차에 의한 상해』는 이 보험계약에 대인배상, 대물배상 및 자기신체사고가 함께 체결된 경우에 한하여 적용한다. 이 보험은 ① 피보험자가 무보험자동차에 의하여 생긴 다음의 사고로 죽거나 다쳤을 때에, 그 손해에 대하여 배상의무자가 있을 경우 이 약관에서 정한 바에 따라 보상합니다."
자동차보험 자기신체사고,"이 보험은 피보험자가 피보험자동차를 소유, 사용, 관리하는 동안에 생긴 피보험자동차의 사고로 인하여 상해를 입었을 때에 약관이 정하는 바에 따라 보험금을 지급한다."
자동차보험 진료수가,자동차의 운행으로 사고를 당한 자가 『의료법』에 따른 의료기관에서 진료를 받음으로써 발생하는 비용
자동차보험의 사고기록 점수제도,"1989년 7월 1일자 자동차보험 제도개선의 일환으로 우리나라에선 90년 4월 1일자로 처음으로 실시된 제도. 평가 대상 기간 중의 사고유무 및 사고건별 기록 점수에 따라 평가하며, 사고기록 점수는 매건별 사고의 내용 및 원인별 점수를 합계하여 결정한다. 합계 점수에 따라 보험료 할증이 부가된다."
자동차부속품,자동차에 통상 붙어있거나 장치되어 있는 것으로 장식품이 아닌 것
자동차손해배상보장법,자동차사고로 인한 손해배상제도에 관한 특별법 ① 배상책임주체의 확대(운행자 책임) ② 조건부 무과실책임주의(자배법 제3조 단서 조항) ③ 입증책임의 전환 ④ 보험가입의 강제 및 자동차손해배상보장사업
자동차취급업자,"자동차정비업, 주차장업, 급유업, 세차업, 자동차판매업, 자동차탁송인 등 자동차를 취급하는 일에 종사하는 자(이들의 피용자 및 이들이 법인인 경우에는 그 이사와 감사를 포함)"
자동항법장치,위성항법장치가 내장되어 차량의 위치를 자동으로 표시해 주는 장치로 보통 내비게이션이라고 함
자연보험료,"각 연령별 사망률에 기초를 두고 1년마다 수지의 균형이 잡히도록 계산된 보험료를 말하며, 사망률에 비례하여 보험료가 체증하는 바, 연령의 증가에 따라 보험료 납입의 부담이 커진다. 따라서 계약자의 입장에서는 보험료의 납입능력에 문제가 생길 수 있으며, 매년 납입보험료가 상이하므로 계약의 유지 및 관리에도 복잡한 결점을 지니고 있다."
자필서명,"보험계약자와 피보험자(보험대상자)가 자필서명을 하지 않으신 경우에는 보장을 받지 못할 수 있습니다. 다만, 전화를 이용하여 가입할 때 일정요건이 충족되면 우편이나 팩스를 통한 자필서명을 생략할 수 있으며, 인터넷을 이용한 홈페이지에서는 공인전자서명으로 대체할 수 있습니다."
잔존물제거비용,"사고현장에서의 잔존물의 해체비용, 청소비용(사고현장 및 인근지역의 토양, 대기, 수질 오염물질 제거비용과 상차후 폐기물 처리비용은 제외) 및 상차비용"
장기손해보험,"손해보험에서는 보험기간 1년을 기준으로 하여(연계약이라 한다.) 1년 미만을 단기보험계약, 1년을 넘는 것을 장기보험계약이라고 한다. 장기보험에는 보험계약의 구조자체가 장기인것(장기종합보험)도 있으나, 원래 1년 계약용으로 되어 있는 보험을 특약에 의해서 장기화시키는 일도 있다. 단기보험계약에서 적용되지 않은 만기환급금 지급은 장기보험의 특징의 하나이다."
장례비,"부고비, 주류 및 음식물접대비 제례비용 등을 말하며, 지급기준 상 지출 여부를 불문하고 300만원으로 산정"
장비,자동차의 기능을 충분히 발휘하기 위해 갖추어 두고 있는 상태 또는 법령에 따라 자동차에 갖추어 두고 있는 상태
재무설계,생활자금목표를 달성하기 위해서 오랜 준비기간과 많은 자금의 수요가 예상되므로 그 시기를 감안하여 장래 가정에 필요한 자금의 준비를 계획적으로 해두는 것을 말한다.
재물손해,물리적으로 망가뜨려진 유체물의 직접손해와 물리적으로 망가뜨려진 유체물의 사용불능으로 생긴 간접손해
재보험단위,"보험자가 초과액재보험특약에 의거하여 재보험을 행하는 경우 상대방의 부담력 또는 상대방이 제공하는 교환재보험(reciprocity)의 양을 협의하고 출재금액의 한도를 정한다. 이것은 금액을 가지고 표시하는 경우도 있으나, 보험자의 보유액을 단위로 하여 그 재보험단위(배수)를 가지고 출재액의 단위를 표시하는 경우가 있다. 재보험단위(출재배수)란 이 출재액의 한도를 표시하는 단위 즉 배수를 말한다."
재해 고도장해 보험금,명보험의 재해관련 특약의 하나인 재해사망 특약에 의해서 지급되는 보험금으로써 피보험자가 고도의 장해를 입었을 때 계약가입 보험금액의 100%가 지급된다
재해사망,외부로부터 예측할 수 없는 우연한 사고가 직접적인 원인이 되어서 사망하는 것을 말한다. 재해사고로 인하여 사망한금을 재해사망보험금이라고 하며 이 경우에는 계약보험가입금액의 100%가 지급된다.
재해사망보험금,"재해사망특약, 가족재해특약 및 교통재해보장특약 등에 의해서 지급되는 보험금이다. 특약기간 중 예측할 수 없는 사고가 직접적인 원인이 되어서 사망하였을 때 계약보험가입금액의 100%가 지급된다.
재해사망특약, 가족재해 특약 및 교통재해보장특약 등에 의해서 지급되는 보험금. 특약기간 중 예측할 수 없는 사고가 직접적인 원인이 되어서 사망하였을 때 계약보험가입금액의 100%가 지급된다."
적립계약 순보험료,금리연동형 상품에서 영업보험료 중 향후 만기보험금의 지급재원으로 매일 적립되는 금액을 말한다. 이 금액을 기준으로 적립금이 적립된다.
적립금,"피보험자를 위해서 적립해 놓은 금액을 말한다. 적립금이라는 말은 넓은 의미에서는 보험계정에서 결산상 생기는 잉여금이며, 좁은 의미에서는 보험계약에 대한 보험자의 의무이행을 위한 금액이다."
적립부분 순보험료,적립보험료에서 적립부분에 해당하는 부가보험료를 제외한 보험료를 말합니다.
적용보험료,기본보험료에 당해 계약의 제반 요율 적용요소를 감안하여 산출한 금액으로서 보험계약자가 지불하여야 할 보험료
전기납,"전 보험기간 동안 보험료를 납입하는 것
보험기간의 전 기간에 걸쳐 보험료를 납입하는 보험료 납입방법이다."
전기납입보험,"보험기간(보장기간)의 전기간에 걸쳐서 보험료를 납입하는 보험을 말한다.
보험기간의 전기간에 걸쳐서 보험료가 납입되는 보험을 말한다. 보험료의 납입방법에는 연납, 6개월납, 월납 등이 있다."
전방조종 자동차,가장 앞부분과 조향핸들 중심점까지의 거리가 자동차 길이의 1/4 이내인 자동차
전손부활,피보험자동차가 전손되어 새로운 차량을 해당 계약에 승계하여 계약을 부활하는 것
전환가격,"사망보험중 보험기간이 일정기간에 한정되어 있는 보험을 말한다. 정기보험의 장점은 저렴한 보험료로 고액의 보장을 받을 수 있다는 것이며, 단점으로는 생존자는 보험금을 못받게 된다는 점이다."
정기보험,"어느 일정한 보험기간 중에 보험대상자(피보험자)가 사망한 경우 보험금을 지급하는 보험을 말한다. 보험기간의 만료시점에서 생존해 있는 경우에는 급부가 없고, 거기에서 계약은 소멸한다."
정부보장사업,『자동차손해배상보장법』에 의거 ① 뺑소니 자동차 또는 무보험(책임보험도 미가입)자동차 등의 교통사고로 인해 죽거나 다친 피해자로 다른 수단으로는 전혀 보상을 받을 수 없는 경우 피해자에 대한 최소한의 보상 ② 자동차사고로 인한 사망자 및 중증후유장해인의 가족에 대한 지원
정차,운전자가 5분을 초과하지 아니하고 차를 정지시키는 것으로서 주차 외의 정지상태(도로교통법 제2조 제25항)
정착률,"등록된 모집인이 중도에 탈락하지 않고 잔존하고 있는 정도를 나타낸 비율이며, 보통 13월차와 25월차에 대한 정착률을 통계로 이용하고 있다."
제3분야 보험,"일본 보험업법 개정과정에서 생˙손보사가 겸영할 수 있는 분야를 지칭하는 말로 처음등장했다. 생보인보험과 손보물보험 사이의 중간분야로 상해부문과 질병부문 영역을 일컫는다. 생보는 특약, 손보는 주보험으로 설계돼 생보는 정액보장, 손보는 실비보장이 원칙이다. 완전한 상품형태로 생손보 모두 동시에 참여할 수 있도록 논의되고 있는데 아직 우리나라엔 도입되지 않았다."
제도성 특약,주계약에 추가하여 별도로 추가적인 보장을 확대하는 특약이 아닌 보험금 선지급서비스특약이나 비흡연자할인특약 등과 같이 주계약의 보장내용이나 적용방식 등을 보완·규정하는 특약을 말한다. 통상적으로 제도성 특약에는 별도의 보험료가 부가되지 않는다.
조기사망,"계약후 또는 부활 후 단기간내에 발생하는 사망을 말하는 것으로, 계약후 또는 부활후 2년미만의 사망을 말한다."
종합보험,"여러 가지 위험을 하나의 증권으로 일괄해서 보상하는 보험의 총칭으로 주택상공종합보험, 동산종합보험, 개인용 자동차 종합보험 등이 있다.
여러가지 위험을 하나의 증권으로 일괄해서 보상하는 보험의 총칭. 주택상공종합보험, 동산 종합보험, 개인용 자동차 종합보험 등이 그 보기이다."
좌석벨트 착용자 특별보험금,"일본의 자동차보험 탑승자 상해계약에서 좌석벨트 착용자에 대한 보험제도상의 우대조치로써 지급되는 보험금. 고속도로˙자동차 전용도로에서 발생한 자동차사고로 탑승자가 좌석벨트를 착용하고 있었음에도 불구하고 사망하였을 경우에, 탑승자 상해 보험금액의 10%(일정금액을 한도로 한다.)에 해당하는 액수가 통상의 사망보험금에 추가되어 특별보험금으로 지급된다. 우리나라에선 좌석벨트 착용여부는 과실비율의 인정"
주관적 위험,"피보험자 자신 또는 피보험자와 접촉하는 사람의 성격이나 행동에 의존하는 모든 위험을 말하는 것으로, 도덕적 위험, 인위적 위험과 같은 뜻으로 사용되는 경우도 있다."
주된보험대상자,"보험계약 체결시 보험대상자(피보험자)가 2인 이상일 경우 주된 피보험자(주피보험자) 즉, 보험계약의 성립여부의 주된 대상이 되는 보험대상자(피보험자)를 말한다."
중개수수료,"보험중개인이 보험계약을 중개한데 대한 보수로서 보험자가 받는 보험료 중에서 일정비율을 중개인에게 지급한다. 중개수수료의 요율은 일정하지 않고 보험사마다 다르다.
보험브로커가 보험계약을 중개한데 대한 보수로서 보험자가 받는 보험료중에서 일정비율을 중개인에게 지급한다. 중개수수료의 요율은 일정하지 않으나 대리점수수료에 비하여 훨씬 낮다."
중대한 과실,"과실중에서 경과실에 대립하는 것으로, 현저하게 주의를 게을리함으로써 일정한 사실을 알지 못하는 심리상태를 가리키고, 단순히 중과실이라고 일컫는다. 상법상 보험계약자 등의 보험가입자 측의 중대한 과실은 고의의 경우와 함께, 보험자의 면책사유, 고지의무 위반의 주관적 요건, 보험계약이 무효인 경우의 보험료반환청구권의 소멸사유 및 주관적 위험변경·증가 사유가 된다.
주의의무위반이 현저한 과실. 즉, 극히 근소한 주의만 기울였더라도 결과 발생을 예견할 수 있음에도 부주의로 이를 예견하지 못한 것을 의미"
중도환급금,"해당 상품의 약관에 의거 보험기간 중 환급하는 금액. 중도환급금은 보험계약 유지기간 중 해당 상품약관에 따라 지급하는 환급금으로 중도환급금 발생시점까지 보험료가 완납되어 중도금 발생조건이 충족되어야 하며, 단순히 기간만 도래한 경우에는 지급되지 않음"
중복계약,동일 목적물(자동차)이 2개 이상의 자동차보험에 가입된 경우
중복보험,"넓은 의미로는 동일한 보험의 목적의 동일한 위험에 대하여 여러 개의 보험계약이 보험가입되어 있을 경우를 말하고 이들 보험가입금액의 합계가 보험가액을 초과할 경우를 중복보험이라 부른다.
동일의 피보험 이익에 대해서 복수의 보험계약이 존재하는 경우, 이것을 광의의 중복보험계약이라고 한다. 또, 중복되는 각 보험계약의 보험금액의 합계가 보험가액을 초과하는 경우, 이것을 협의 또는 상법상의 중복보험계약이라고 한다. 그리고 중복보험계약에는 복수의 계약이 동시에 체결된 동시 중복보험계약과 시기를 달리해서 체결된 이시(異時)중복보험계약이 있다."
중복보험계약,"일반적으로 손해보험계약에서 사용되는 용어로서, 동일의 피보험 이익에 대해서 복수로 보험계약을 체결하는 경우 이것을 광의의 중복보험계약이라고 하며, 중복되는 각 보험계약의 보험금액의 합계가 보험가액을 초과하는 경우 이것을 협의 또는 상법상의 중복보험계약이라고 한다.
동일의 피보험 이익에 대해서 복수의 보험계약이 존재하는 경우, 이것을 광의의 중복보험계약이라고 한다. 또, 중복되는 각 보험계약의 보험금액의 합계가 보험가액을 초과하는 경우, 이것을 협의 또는 상법상의 중복보험계약이라고 한다. 그리고 중복보험계약에는 복수의 계약이 동시에 체결된 동시 중복보험계약과 시기를 달리해서 체결된 이시(異時)중복보험계약이 있다."
중상해,교통사고처리특례법 제4조 제1항 제2호(교특법 적용 예외 조항) 피해자가 신체의 상해로 인하여 생명에 대한 위험이 발생하거나 불구가 되거나 불치 또는 난치의질병이 생긴 경우
중증치매상태,약관에서 정한 일정정도 이상의 중증치매로 진단되고 90일(또는 180일)이상 CDR척도 3점이상의 ‘인지기능장애’가 발생한 상태를 말합니다. 1. 알쯔하이머병에서의 치매 / 2. 혈관성 치매.. 등
중증화상/부식,신체표면적 20%이상의 3도 화상 및 부식
중환자실,의료법 시행규칙 별표4에서 정한 중환자실
즉시 지급제도,원보험자와 재보험자간에 있어서 특약재보험에 의한 재보험료 및 재보험금의 결제는 보통 4분기로 나누어 행하여진다. 그러나 원보험자가 하나의 사고 또는 일련의 사고에 대하여 거액의 보험금 지급을 할 경우에 재보험자로부터 회수할 재보험금이 일정금액을 초과할 때 재보험자가 원보험자에 즉시 지급할 것을 협정한다. 이것을 즉시 지급제도라고 한다.
지급보험금,보험사고의 발생으로 인한 손해액 중 지급 완료한 금액
지정대리청구에 관한 특약,계약체결시 피보험자를 대리하여 보험금을 청구할 수 있는 자를 미리 지정하는 특약
지정대리청구인,"보험수익자의 대리인으로서 보험금(사망보험금 제외)을 청구하고 수령할 수 있으며,피보험자가 보험금을 청구할 수 없는 상태(병원입원 등)인 경우에도 보험금을 청구할 수 있도록 사전에 대리인을 지정하는 제도를 말합니다. 「지정대리청구서비스 특별약관」에 따라 계약자, 피보험자 및 보험수익자가 모두 동일한 경우에 한하여 적용되며 다음중 어느 하나에 해당하는 사람 중 1인을 지정대리청구인으로 지정할 수 있습니다.(지정대리청구인의 지정)1. 피보험자와 동거하거나 피보험자와 생계를 같이 하고 있는 피보험자의 가족관계등록부상 또는 주민등록상의 배우자 2. 피보험자와 동거하거나 피보험자와 생계를 같이 하고 있는 피보험자의 3촌 이내의 친족"
지정운전자,피보험자가 피보험자동차에 대하여 운전할 자를 지정하여 보험증권에 기재된 운전자
직접판매제도,"DM이라 부르며, 우편, 전화, PC 등을 이용한 보험판매제도를 말한다.
우편, 전화, PC등을 이용한 보험판매제도.→다이렉트 메일보험
우편, 전화, PC등을 이용한 보험판매제도"
질병보험,"각종 질병으로 인한 입원, 수술 등의 손해를 다양하게 보장하는 보험"
차대번호,자동차 출고후에 부여된 차량의 고유 식별번호
차량대체,피보험자동차를 양도하거나 페차한 후 동일차종의 새로 취득한 차량으로 계약을 승계시 적용하는 배서
책임준비금,보험약관에 정한 제지급조건의 이행을 위해 장래에 있을 사망 및 만기보험금 등의 지급을 위하여 순보험료를 예정이율로 증식 적립한 금액을 말한다.
책임준비금 전입,"책임준비금은 기중에는 이동시키지 않고 기말에 전계약을 대상으로 계산한다. 전기에서 이월된 책임준비금을 전액 환입시키고, 기말보유계약에 대한 책임준비금을 전입한다. 즉 (차)책임준비금 (대) 책임준비금 환입액의 분개로 환입하고 (차)책임준비금 전입액 (대)책임준비금으로 체환(替換)한다. 손익계산서에서는 차액을 책임준비금 전입(환입)액으로 표시한다."
책임준비금 전입액,"책임준비금은 기중에는 이동시키지 않고 기말에 전계약을 대상으로 계산한다. 전기에서 이월된 책임준비금을 전액 환입시키고, 기말보유계약에 대한 책임준비금을 전입한다. 즉 (차)책임준비금 (대)책임준비금 환입액의 분개로 환입하고 (차)책임준비금 전입액 (대)책임준비금으로 체환(替換)한다. 손익계산서에서는 차액을 책임준비금 전입액으로 표시한다."
책임준비금비례방법,기본보험계약의 예정책임준비금 이상의 초과적립금과 예정책임준비금과의 비율에 따라 변동보험금을 계산하는 방법이다.
척수손상 사지완전마비 환자,"척수손상으로 인해 양팔과 양다리가 모두 마비된 환자로서 다음 항목에 모두 해당하는 자 ① 생존에 필요한 일상생활의 동작(식사,배설,보행 등)을 자력으로 할 수 없다. ② 침대에서 몸을 일으켜 의자로 옮기거나 집안에서 걷기 등의 자력이동이 불가능하다. ③ 욕창을 방지하기 위해 수시로 체위를 변경시켜야 하는 등 다른 사람의 상시 개호를 필요로 한다."
청산기금,"피보험자(보험대상자)에게 발생한 사고와 관련하여 발생한 비용을 변제하기 위하여 현금을 지급하는 보험의기능, 사망의 경우 장례비 및 그와 관련된 비용을 지급"
체감 정기보험,보험금액이 기간의 경과와 더불어 감소하는 정기보험을 말한다.
체감정기보험,보험금액이 보험기간의 경과와 더불어 감소하는 정기보험을 말한다.
체신보험,체신보험은 보험의 보편화를 통하여 재해의 위험에 공동으로 대처하게 함으로써 국 민의 경제생활안 정과 공공복리의 증진에 기여하기 위하여 특별법에「체신예금ㆍ보험에 관한 법률」에 의거 공익차원 에서 체신부가 취급하는 국영보험이다.
체증 정기보험,정기보험 가운데 보험금액이 보험기간의 경과와 더불어 증가해 가는 보험을 말한다. 그러나 보험료는 정기보험과 마찬가지로 전보험기간을 통해서 일정하다.
체증정기보험,보험금액이 보험기간의 경과와 더불어 증가하는 정기보험을 말한다
초과보험,"보험금액이 보험가액을 초과할 경우를 말한다. 손해보험에서는 실손 보상을 원칙으로 하기 때문에 고의에 의한 사고유발의 폐단을 방지하기 위하여 초과부분에 대해서는 당사자의 선의·악의를 불문하고 이것을 무효로 하고 있다. 다만, 보험계약자가 선의이고 또한 중대한 과실이 없을 경우에는 무효부분의 비율에 따라 보험료의 일부 반환을 청구할 수 있다.
보험금액이 보험가액을 초과할 경우를 초과보험이라고 하는데 손해보험에서는 실손보상을 원칙으로 하기 때문에 고의에 의한 사고유발의 폐단을 방지하기 위하여, 초과부분에 대해서는 당사자의 선의˙악의를 불문하고 이것을 무효로 하고 있다. 다만, 보험계약자가 선의이고 또한 중대한 과실이 없을 경우에는 무효부분의 비율에 따라 보험료의 일부 반환을 청구할 수 있다."
총괄대리점,다음의 한가지 기준에 달한 자가 운영할 수 있다. ①8년이상 손해보험 업무경력자 ②손해보험 총괄대리점 연수과정 이수자(일반대리점 2년이상 운영자) ③손해보험 일반대리점을 2년이상 운영하고 최근 2년간 월평균 보험계약 실적이 승격기준에 해당되는 자. 취급종목은 손해보험 전종목이다.
총보험료,"지급보험금을 위한 순보험료와 인건비 대리점수수료 등의 지급을 위한 부가보험료의 합계를 말한다. 그로스보험료라고 하며, 넷드보험료에 대한 용어이다.
지급보험금을 위한 순보험료와 인건비 대리점수수료 등의 지급을 위한 부가보험료의 합계를 말한다."
최고,분할납입을 약정한 본납보험료를 납입기한내로 내지않아 일정기간 유예기간내에 미납입시 계약이 해지됨을 알리는 행위로 등기를 통해 알림
최초등록일,자동차관리법 제8조에 의하여 피보험자동차를 신규로 등록한 일자
추가보험대상자,"보험계약 체결시 보험대상자(피보험자)가 2인 이상일 경우 주된보험대상자(주피보험자)에 종속되어 있는 보험대상자(피보험자)를 말한다. 따라서 보험가입금액은 주된보험대상자(주피보험자)를 기준으로 백분율로 환산하고 추가보험대상자(종피보험자)는 주된보험대상자(주피보험자)의 보험가입금액에 일정부분을 비례하여 책정하고 있다. 추가보험대상자(종피보험자)가 계약을 위반하였을 경우 보험계약의 일부 즉, 추가보험대상자(종피보험자)와 관련된 계약 부분만 해지되고 나머지 계약은 계속 유지되는 것이 원칙이다."
추정복구기간,보험목적을 손해발생 직전의 상태로 복구하기 위하여 통상적으로 필요하다고 인정되는 기간을 말합니다.
추정전손,"보험의 목적이 완전한 멸실에는 이르지 않았으나, 수선 또는 회수 등의 비용이 보험가액을 넘을 때와 같은 경우에는 전손으로 취급되는 일이 있다. 이것을 추정전손, 경제적 전손 또는 해석전손이라고 한다."
출재재보험자,재재보험의 피보험자를 말한다. 다시 말하면 재재보험에서의 출재자를 말한다.
치석제거,날카로운 기구나 초음파 기구로 치석을 제거하는 치료
친권자,친권자란 혼생자의 경우 혼인중인 부모가 공동으로 되지만 이혼한 경우에는 부만이 친권자가 된다. 혼외자의 경우에는 인지를 한 부와 적모가 공동으로 친권자가 되고 인지를 한 부와 모가 없을 때에는 생모가 친권자가 된다.
친족피보험자,기명피보험자와 같이 살거나 살림을 같이 하는 친족으로서 피보험자동차를 사용하거나 관리하고 있는 자
침수,"흐르거나 고인 물, 역류하는 물, 범람하는 물, 해수 등에 피보험자동차가 빠지거나 잠기는 것을 말하며, 차량 도어나 선루프 등을 개방해 놓았을 때 빗물이 들어간 것은 침수로 보지 않습니다."
캐쉬 콜,캐쉬 로스 규정에 의해 재보험자에 대해 즉시불 재보험금의 지급청구를 하는 것을 말한다.→캐쉬로스
캐퍼시티,보험자의 인수능력. 1건당 최대한 어느정도의 보험금액까지 보험(또는 재보험)이 인수될 수 있는가를 나타내는 것으로 보험자에 따라 또는 보험종목에 따라서 다르다.
코˙인슈어런스,"보험금액이 이재시(罹災時)의 보험가액에 일정비율(약정비율)을 곱한 금액 이상일 경우에는 보험금액을 한도로 해서 실손해가 보상되며, 보험금액이 보험가액에 약정비율을 곱한 금액 이하일 경우에는 그 비율로 비례보상되는 것을 약정하는 조항. 비례보상의 보기를 들어보면, 약정비율 80%, 보험가액 1천만원, 보험금액 6백만원, 손해액 4백만원일 때의 지급보험금의 금액은 다음과 같이 된다. 4백만원×6백만원 1천만원×80% =3백만원 또한 X코˙인슈어런스〉라는 말을 공동보험을 가리켜서 쓸 때가 있다."
콜적부,전화를 통하여 피보험자의 직업 및 고지사항을 확인하는 절차
타협지급,"손해가 발생한 경우, 손해의 원인, 성질, 비율 또는 손해액 등에 관해서 피보험자와 보험자와의 사이에 의견이 다를 때, 쌍방이 서로 타협하여 지급액을 결정하여 해결함을 말한다."
태리프:보험요율표,"기준보험금액에 대한 보험료비율을 보험요율이라고 하지만, 이것을 보험종류마다 물건별, 지역별 등의 위험을 구분해서 표시하는 것을 태리프(tariff) 혹은 보험요율표라고 한다. 한편 협정요율표를 일컫는 경우가 많다 ."
테일러 메이드 증권,특정 고객의 요구에 맞도록 작성된 특수한 보험증권을 말한다.
투자비율,자동차보험 약관 지급기준 상 투자비율은 증명이 불가능한 경우 1/동업자수
특별계정변경,하나의 특별계정에서 운용되고 있는 적립금의 전부 또는 일부를 계약자의 요청에 의해 다른 특별계정으로 변경시키는 것을 말한다.
특별약관,"보통보험 약관의 규정을 변경, 보충, 배제하기 위해서 쓰여지는 모든 약관을 말한다.
기본적인 주계약의 보장내용을 보완하기 위하여 재해, 질병, 상해등의 추가적인 보장을 부가해서 판매하는 것을 특약이라고 하며, 일반적으로 주계약과는 별도의 보험료가 추가로 부가된다.
보통보험약관의 규정을 변경, 보충, 배제하기 위해서 쓰여지는 모든 약관을 말한다. 특약 또는 특약조항이라고도 한다."
특별요율,자동차의 구조나 운행실태가 동종차종과 상이하거나 규정요율만 적용하는 것이 부적절한 특별위험에 대하여 적용하는 요율
특별할증,"과거 1년동안 위장사고, 범죄행위 사고, 할증보험료 면탈행위가 있는 계약자의 경우 갱신보험료를 할증하는 제도"
특정분손,→ specified particular average specified casualties.
특혜지급,보험자가 법적 보상책임이 없는 손해를 지급함을 말한다. 이는 중요한 고객에게 신용과 후의의 징표로서 행하는 것이다. 따라서 재보험자는 이에 동의할 의무가 없다.
파열,물리적 폭발 의 개념으로 고압용기나 배관 등이 내용물의 압력을 견디지 못해 기체 또는 증기의 급격한 팽창을 수반하여 파열하는 현상.
파워스티어링,"자동차에서 동력에 따른 조향 장치로서, 유압, 공기압 등을 이용하여 핸들 조작을 쉽게 해줌."
파워윈도우,창문 유리를 스위치를 누르는 것만으로 같은 동작을 할 수 있도록 한 자동 윈도 시스템
펀드 자동재배분기능,투자성과에 따라 변동되는 펀드의 적립액 비율을 고객이 계약 체결 시 또는 펀드 변경시 설정한 비율로 자동재배분하는 기능을 옵션으로 부가하여 안정적인 투자전력을 유지할 수 있도록 하는 기능
평가제보험,보험계약의 당사자가 계약체결에 즈음해서 사전에 보험가액을 협정한 때는 그것이 객관적인 평가에 따른 보험가액과 합치하든 안하든 불문하고 당사자는 이것에 구속되고 이협정액을 보험가액으로해서 제문제를 처리하도록 되어있다. 이와같이 당사자간에 보험가액의 협정을 한 경우의 보험계약을 평가제보험이라고 한다. 이것과 달리 계약체결시에 사전에 보험가액의 협정이 이루어지지 않은 보험계약을 미평가보험이라고 한다.
평균수명,"출생시 즉 0세의 평균여명을 평균수명이라고 하며 특정 집단의 건강 여부를 가장 잘 반영한 숫자로서 각종 인구집단의 위생상태를 비교하는 지표의 하나로 생각되고 있다. 평균수명은 과거의 출생과 사망의 결과치인 인구의 연령구성에 의해 좌우되는 특정연도의 사망자연령평균과는 다르다.
출생시 즉 0세의 평균여명을 평균수명이라고 한다. 평균수명에는 전체 연령의 생존연령이 계산에 들어가 있고 그 집단의 건강 여부를 가장 잘 반영한 숫자로서 각종 인구집단의 위생상태를 비교하는 지표의 하나로 생각되고 있다."
